Site;night;active.night
C02;01.07.2020;TRUE
C02;02.07.2020;TRUE
C02;03.07.2020;TRUE
C02;04.07.2020;TRUE
C02;05.07.2020;TRUE
C02;06.07.2020;TRUE
C02;07.07.2020;TRUE
C02;08.07.2020;TRUE
C02;09.07.2020;TRUE
C02;10.07.2020;TRUE
C02;11.07.2020;TRUE
C02;12.07.2020;TRUE
C02;13.07.2020;TRUE
C02;14.07.2020;TRUE
C02;15.07.2020;TRUE
C02;16.07.2020;TRUE
C02;17.07.2020;TRUE
C02;18.07.2020;TRUE
C02;19.07.2020;TRUE
C02;20.07.2020;TRUE
C02;31.07.2020;TRUE
C02;01.08.2020;TRUE
C02;02.08.2020;TRUE
C02;03.08.2020;TRUE
C02;04.08.2020;TRUE
C02;05.08.2020;TRUE
C02;06.08.2020;TRUE
C02;07.08.2020;TRUE
C02;08.08.2020;TRUE
C02;09.08.2020;TRUE
C02;10.08.2020;TRUE
C02;11.08.2020;TRUE
C02;12.08.2020;TRUE
C02;13.08.2020;TRUE
C02;14.08.2020;TRUE
C02;15.08.2020;TRUE
C02;16.08.2020;TRUE
C02;17.08.2020;TRUE
C02;18.08.2020;TRUE
C02;19.08.2020;TRUE
C02;31.08.2020;TRUE
C02;01.09.2020;TRUE
C02;02.09.2020;TRUE
C02;03.09.2020;TRUE
C02;04.09.2020;TRUE
C02;05.09.2020;TRUE
C02;06.09.2020;TRUE
C02;07.09.2020;TRUE
C02;08.09.2020;TRUE
C02;09.09.2020;TRUE
C02;10.09.2020;TRUE
C02;11.09.2020;TRUE
C02;12.09.2020;TRUE
C02;13.09.2020;TRUE
C02;14.09.2020;TRUE
C02;15.09.2020;TRUE
C02;16.09.2020;TRUE
C02;17.09.2020;TRUE
C02;18.09.2020;TRUE
C04;11.07.2020;TRUE
C04;12.07.2020;TRUE
C04;13.07.2020;TRUE
C04;14.07.2020;TRUE
C04;15.07.2020;TRUE
C04;16.07.2020;TRUE
C04;17.07.2020;TRUE
C04;18.07.2020;TRUE
C04;19.07.2020;TRUE
C04;20.07.2020;TRUE
C04;21.07.2020;TRUE
C04;22.07.2020;TRUE
C04;23.07.2020;TRUE
C04;24.07.2020;TRUE
C04;25.07.2020;TRUE
C04;26.07.2020;TRUE
C04;27.07.2020;TRUE
C04;28.07.2020;TRUE
C04;29.07.2020;TRUE
C04;30.07.2020;TRUE
C04;10.08.2020;TRUE
C04;11.08.2020;TRUE
C04;12.08.2020;TRUE
C04;13.08.2020;TRUE
C04;14.08.2020;TRUE
C04;15.08.2020;TRUE
C04;16.08.2020;TRUE
C04;17.08.2020;TRUE
C04;18.08.2020;TRUE
C04;19.08.2020;TRUE
C04;20.08.2020;TRUE
C04;21.08.2020;TRUE
C04;22.08.2020;TRUE
C04;23.08.2020;TRUE
C04;24.08.2020;TRUE
C04;25.08.2020;TRUE
C04;26.08.2020;TRUE
C04;27.08.2020;TRUE
C04;28.08.2020;TRUE
C04;29.08.2020;TRUE
C04;25.09.2020;TRUE
C04;26.09.2020;TRUE
C04;27.09.2020;TRUE
C08;01.07.2020;TRUE
C08;02.07.2020;TRUE
C08;03.07.2020;TRUE
C08;04.07.2020;TRUE
C08;05.07.2020;TRUE
C08;06.07.2020;TRUE
C08;07.07.2020;TRUE
C08;08.07.2020;TRUE
C08;09.07.2020;TRUE
C08;10.07.2020;TRUE
C08;11.07.2020;TRUE
C08;12.07.2020;TRUE
C08;13.07.2020;TRUE
C08;14.07.2020;TRUE
C08;15.07.2020;TRUE
C08;16.07.2020;TRUE
C08;17.07.2020;TRUE
C08;18.07.2020;TRUE
C08;19.07.2020;TRUE
C08;20.07.2020;TRUE
C08;31.07.2020;TRUE
C08;01.08.2020;TRUE
C08;02.08.2020;TRUE
C08;03.08.2020;TRUE
C08;04.08.2020;TRUE
C08;05.08.2020;TRUE
C08;06.08.2020;TRUE
C08;07.08.2020;TRUE
C08;08.08.2020;TRUE
C08;09.08.2020;TRUE
C08;10.08.2020;TRUE
C08;11.08.2020;TRUE
C08;12.08.2020;TRUE
C08;13.08.2020;TRUE
C08;14.08.2020;TRUE
C08;15.08.2020;TRUE
C08;16.08.2020;TRUE
C08;17.08.2020;TRUE
C08;18.08.2020;TRUE
C08;19.08.2020;TRUE
C08;30.08.2020;TRUE
C08;31.08.2020;TRUE
C08;01.09.2020;TRUE
C08;02.09.2020;TRUE
C08;03.09.2020;TRUE
C08;04.09.2020;TRUE
C08;05.09.2020;TRUE
C08;06.09.2020;TRUE
C08;07.09.2020;TRUE
C08;08.09.2020;TRUE
C08;09.09.2020;TRUE
C08;10.09.2020;TRUE
C08;11.09.2020;TRUE
C08;12.09.2020;TRUE
C08;13.09.2020;TRUE
C08;14.09.2020;TRUE
C08;15.09.2020;TRUE
C08;16.09.2020;TRUE
C08;17.09.2020;TRUE
C08;18.09.2020;TRUE
C09;12.07.2020;TRUE
C09;13.07.2020;TRUE
C09;14.07.2020;TRUE
C09;15.07.2020;TRUE
C09;16.07.2020;TRUE
C09;17.07.2020;TRUE
C09;18.07.2020;TRUE
C09;19.07.2020;TRUE
C09;20.07.2020;TRUE
C09;21.07.2020;TRUE
C09;22.07.2020;TRUE
C09;23.07.2020;TRUE
C09;24.07.2020;TRUE
C09;25.07.2020;TRUE
C09;26.07.2020;TRUE
C09;27.07.2020;TRUE
C09;28.07.2020;TRUE
C09;29.07.2020;TRUE
C09;30.07.2020;TRUE
C09;31.07.2020;TRUE
C09;10.08.2020;TRUE
C09;11.08.2020;TRUE
C09;12.08.2020;TRUE
C09;13.08.2020;TRUE
C09;14.08.2020;TRUE
C09;15.08.2020;TRUE
C09;16.08.2020;TRUE
C09;17.08.2020;TRUE
C09;18.08.2020;TRUE
C09;19.08.2020;TRUE
C09;20.08.2020;TRUE
C09;21.08.2020;TRUE
C09;22.08.2020;TRUE
C09;23.08.2020;TRUE
C09;24.08.2020;TRUE
C09;25.08.2020;TRUE
C09;26.08.2020;TRUE
C09;27.08.2020;TRUE
C09;28.08.2020;TRUE
C09;29.08.2020;TRUE
C09;21.09.2020;TRUE
C09;22.09.2020;TRUE
C09;23.09.2020;TRUE
C09;24.09.2020;TRUE
C09;25.09.2020;TRUE
C09;26.09.2020;TRUE
C09;27.09.2020;TRUE
C09;28.09.2020;TRUE
C10;01.07.2020;TRUE
C10;02.07.2020;TRUE
C10;03.07.2020;TRUE
C10;04.07.2020;TRUE
C10;05.07.2020;TRUE
C10;06.07.2020;TRUE
C10;07.07.2020;TRUE
C10;08.07.2020;TRUE
C10;09.07.2020;TRUE
C10;10.07.2020;TRUE
C10;11.07.2020;TRUE
C10;12.07.2020;TRUE
C10;13.07.2020;TRUE
C10;14.07.2020;TRUE
C10;15.07.2020;TRUE
C10;16.07.2020;TRUE
C10;17.07.2020;TRUE
C10;18.07.2020;TRUE
C10;19.07.2020;TRUE
C10;20.07.2020;TRUE
C10;31.07.2020;TRUE
C10;01.08.2020;TRUE
C10;02.08.2020;TRUE
C10;03.08.2020;TRUE
C10;04.08.2020;TRUE
C10;05.08.2020;TRUE
C10;06.08.2020;TRUE
C10;07.08.2020;TRUE
C10;08.08.2020;TRUE
C10;09.08.2020;TRUE
C10;10.08.2020;TRUE
C10;11.08.2020;TRUE
C10;12.08.2020;TRUE
C10;13.08.2020;TRUE
C10;14.08.2020;TRUE
C10;15.08.2020;TRUE
C10;16.08.2020;TRUE
C10;17.08.2020;TRUE
C10;18.08.2020;TRUE
C10;19.08.2020;TRUE
C10;30.08.2020;TRUE
C10;31.08.2020;TRUE
C10;01.09.2020;TRUE
C10;02.09.2020;TRUE
C10;03.09.2020;TRUE
C10;04.09.2020;TRUE
C10;05.09.2020;TRUE
C10;06.09.2020;TRUE
C10;07.09.2020;TRUE
C10;08.09.2020;TRUE
C10;09.09.2020;TRUE
C10;10.09.2020;TRUE
C10;11.09.2020;TRUE
C10;12.09.2020;TRUE
C10;13.09.2020;TRUE
C10;14.09.2020;TRUE
C10;15.09.2020;TRUE
C10;16.09.2020;TRUE
C10;17.09.2020;TRUE
C10;18.09.2020;TRUE
C11;16.07.2020;TRUE
C11;17.07.2020;TRUE
C11;18.07.2020;TRUE
C11;19.07.2020;TRUE
C11;20.07.2020;TRUE
C11;21.07.2020;TRUE
C11;22.07.2020;TRUE
C11;23.07.2020;TRUE
C11;24.07.2020;TRUE
C11;25.07.2020;TRUE
C11;26.07.2020;TRUE
C11;27.07.2020;TRUE
C11;28.07.2020;TRUE
C11;29.07.2020;TRUE
C11;30.07.2020;TRUE
C11;31.07.2020;TRUE
C11;01.08.2020;TRUE
C11;02.08.2020;TRUE
C11;03.08.2020;TRUE
C11;04.08.2020;TRUE
C11;10.08.2020;TRUE
C11;11.08.2020;TRUE
C11;12.08.2020;TRUE
C11;13.08.2020;TRUE
C11;14.08.2020;TRUE
C11;15.08.2020;TRUE
C11;16.08.2020;TRUE
C11;17.08.2020;TRUE
C11;18.08.2020;TRUE
C11;19.08.2020;TRUE
C11;20.08.2020;TRUE
C11;21.08.2020;TRUE
C11;22.08.2020;TRUE
C11;23.08.2020;TRUE
C11;24.08.2020;TRUE
C11;25.08.2020;TRUE
C11;26.08.2020;TRUE
C11;27.08.2020;TRUE
C11;28.08.2020;TRUE
C11;29.08.2020;TRUE
C11;09.09.2020;TRUE
C11;10.09.2020;TRUE
C11;11.09.2020;TRUE
C11;12.09.2020;TRUE
C11;13.09.2020;TRUE
C11;14.09.2020;TRUE
C11;15.09.2020;TRUE
C11;16.09.2020;TRUE
C11;17.09.2020;TRUE
C11;18.09.2020;TRUE
C11;19.09.2020;TRUE
C11;20.09.2020;TRUE
C11;21.09.2020;TRUE
C11;22.09.2020;TRUE
C11;23.09.2020;TRUE
C11;24.09.2020;TRUE
C11;25.09.2020;TRUE
C11;26.09.2020;TRUE
C11;27.09.2020;TRUE
C11;28.09.2020;TRUE
C14;12.07.2020;TRUE
C14;13.07.2020;TRUE
C14;14.07.2020;TRUE
C14;15.07.2020;TRUE
C14;16.07.2020;TRUE
C14;17.07.2020;TRUE
C14;18.07.2020;TRUE
C14;19.07.2020;TRUE
C14;20.07.2020;TRUE
C14;21.07.2020;TRUE
C14;22.07.2020;TRUE
C14;23.07.2020;TRUE
C14;24.07.2020;TRUE
C14;25.07.2020;TRUE
C14;26.07.2020;TRUE
C14;27.07.2020;TRUE
C14;28.07.2020;TRUE
C14;29.07.2020;TRUE
C14;30.07.2020;TRUE
C14;31.07.2020;TRUE
C14;10.08.2020;TRUE
C14;11.08.2020;TRUE
C14;12.08.2020;TRUE
C14;13.08.2020;TRUE
C14;14.08.2020;TRUE
C14;15.08.2020;TRUE
C14;16.08.2020;TRUE
C14;17.08.2020;TRUE
C14;18.08.2020;TRUE
C14;19.08.2020;TRUE
C14;20.08.2020;TRUE
C14;21.08.2020;TRUE
C14;22.08.2020;TRUE
C14;23.08.2020;TRUE
C14;24.08.2020;TRUE
C14;25.08.2020;TRUE
C14;26.08.2020;TRUE
C14;27.08.2020;TRUE
C14;28.08.2020;TRUE
C14;29.08.2020;TRUE
C14;09.09.2020;TRUE
C14;10.09.2020;TRUE
C14;11.09.2020;TRUE
C14;12.09.2020;TRUE
C14;13.09.2020;TRUE
C14;14.09.2020;TRUE
C14;15.09.2020;TRUE
C14;16.09.2020;TRUE
C14;17.09.2020;TRUE
C14;18.09.2020;TRUE
C14;19.09.2020;TRUE
C14;20.09.2020;TRUE
C14;21.09.2020;TRUE
C14;22.09.2020;TRUE
C14;23.09.2020;TRUE
C14;24.09.2020;TRUE
C14;25.09.2020;TRUE
C14;26.09.2020;TRUE
C14;27.09.2020;TRUE
C14;28.09.2020;TRUE
MetA;16.07.2020;TRUE
MetA;17.07.2020;TRUE
MetA;18.07.2020;TRUE
MetA;19.07.2020;TRUE
MetA;20.07.2020;TRUE
MetA;21.07.2020;TRUE
MetA;22.07.2020;TRUE
MetA;23.07.2020;TRUE
MetA;24.07.2020;TRUE
MetA;25.07.2020;TRUE
MetA;26.07.2020;TRUE
MetA;27.07.2020;TRUE
MetA;28.07.2020;TRUE
MetA;29.07.2020;TRUE
MetA;30.07.2020;TRUE
MetA;31.07.2020;TRUE
MetA;01.08.2020;TRUE
MetA;02.08.2020;TRUE
MetA;03.08.2020;TRUE
MetA;04.08.2020;TRUE
MetA;05.08.2020;TRUE
MetA;06.08.2020;TRUE
MetA;07.08.2020;TRUE
MetA;08.08.2020;TRUE
MetA;09.08.2020;TRUE
MetA;10.08.2020;TRUE
MetA;11.08.2020;TRUE
MetA;12.08.2020;TRUE
MetA;13.08.2020;TRUE
MetA;14.08.2020;TRUE
MetA;15.08.2020;TRUE
MetA;16.08.2020;TRUE
MetA;17.08.2020;TRUE
MetA;18.08.2020;TRUE
MetA;19.08.2020;TRUE
MetA;20.08.2020;TRUE
MetA;21.08.2020;TRUE
MetA;22.08.2020;TRUE
MetA;23.08.2020;TRUE
MetA;24.08.2020;TRUE
MetA;25.08.2020;TRUE
MetA;26.08.2020;TRUE
MetA;27.08.2020;TRUE
MetA;28.08.2020;TRUE
MetA;29.08.2020;TRUE
MetA;30.08.2020;TRUE
MetA;31.08.2020;TRUE
MetA;01.09.2020;TRUE
MetA;02.09.2020;TRUE
MetA;03.09.2020;TRUE
MetA;04.09.2020;TRUE
MetA;05.09.2020;TRUE
MetA;06.09.2020;TRUE
MetA;07.09.2020;TRUE
MetA;08.09.2020;TRUE
MetA;09.09.2020;TRUE
MetA;10.09.2020;TRUE
MetA;11.09.2020;TRUE
MetA;12.09.2020;TRUE
MetA;13.09.2020;TRUE
MetA;14.09.2020;TRUE
MetA;15.09.2020;TRUE
MetA;16.09.2020;TRUE
MetA;17.09.2020;TRUE
MetA;18.09.2020;TRUE
MetA;19.09.2020;TRUE
MetA;20.09.2020;TRUE
MetA;21.09.2020;TRUE
MetA;22.09.2020;TRUE
MetA;23.09.2020;TRUE
MetB;16.07.2020;TRUE
MetB;17.07.2020;TRUE
MetB;18.07.2020;TRUE
MetB;19.07.2020;TRUE
MetB;20.07.2020;TRUE
MetB;21.07.2020;TRUE
MetB;22.07.2020;TRUE
MetB;23.07.2020;TRUE
MetB;24.07.2020;TRUE
MetB;25.07.2020;TRUE
MetB;26.07.2020;TRUE
MetB;27.07.2020;TRUE
MetB;28.07.2020;TRUE
MetB;29.07.2020;TRUE
MetB;30.07.2020;TRUE
MetB;31.07.2020;TRUE
MetB;01.08.2020;TRUE
MetB;02.08.2020;TRUE
MetB;03.08.2020;TRUE
MetB;04.08.2020;TRUE
MetB;05.08.2020;TRUE
MetB;06.08.2020;TRUE
MetB;07.08.2020;TRUE
MetB;08.08.2020;TRUE
MetB;09.08.2020;TRUE
MetB;10.08.2020;TRUE
MetB;11.08.2020;TRUE
MetB;12.08.2020;TRUE
MetB;13.08.2020;TRUE
MetB;14.08.2020;TRUE
MetB;15.08.2020;TRUE
MetB;16.08.2020;TRUE
MetB;17.08.2020;TRUE
MetB;18.08.2020;TRUE
MetB;19.08.2020;TRUE
MetB;20.08.2020;TRUE
MetB;21.08.2020;TRUE
MetB;22.08.2020;TRUE
MetB;23.08.2020;TRUE
MetB;24.08.2020;TRUE
MetB;25.08.2020;TRUE
MetB;26.08.2020;TRUE
MetB;27.08.2020;TRUE
MetB;28.08.2020;TRUE
MetB;29.08.2020;TRUE
MetB;30.08.2020;TRUE
MetB;31.08.2020;TRUE
MetB;01.09.2020;TRUE
MetB;02.09.2020;TRUE
MetB;03.09.2020;TRUE
MetB;04.09.2020;TRUE
MetB;05.09.2020;TRUE
MetB;06.09.2020;TRUE
MetB;07.09.2020;TRUE
MetB;08.09.2020;TRUE
MetB;09.09.2020;TRUE
MetB;10.09.2020;TRUE
MetB;11.09.2020;TRUE
MetB;12.09.2020;TRUE
MetB;13.09.2020;TRUE
MetB;14.09.2020;TRUE
MetB;15.09.2020;TRUE
MetB;16.09.2020;TRUE
MetB;17.09.2020;TRUE
MetB;18.09.2020;TRUE
MetB;19.09.2020;TRUE
MetB;20.09.2020;TRUE
MetB;21.09.2020;TRUE
MetB;22.09.2020;TRUE
MetB;23.09.2020;TRUE
P02;01.07.2020;TRUE
P02;02.07.2020;TRUE
P02;03.07.2020;TRUE
P02;04.07.2020;TRUE
P02;05.07.2020;TRUE
P02;06.07.2020;TRUE
P02;07.07.2020;TRUE
P02;08.07.2020;TRUE
P02;09.07.2020;TRUE
P02;10.07.2020;TRUE
P02;11.07.2020;TRUE
P02;12.07.2020;TRUE
P02;13.07.2020;TRUE
P02;14.07.2020;TRUE
P02;15.07.2020;TRUE
P02;16.07.2020;TRUE
P02;17.07.2020;TRUE
P02;18.07.2020;TRUE
P02;19.07.2020;TRUE
P02;20.07.2020;TRUE
P02;31.07.2020;TRUE
P02;01.08.2020;TRUE
P02;02.08.2020;TRUE
P02;03.08.2020;TRUE
P02;04.08.2020;TRUE
P02;05.08.2020;TRUE
P02;06.08.2020;TRUE
P02;07.08.2020;TRUE
P02;08.08.2020;TRUE
P02;09.08.2020;TRUE
P02;10.08.2020;TRUE
P02;11.08.2020;TRUE
P02;12.08.2020;TRUE
P02;13.08.2020;TRUE
P02;14.08.2020;TRUE
P02;15.08.2020;TRUE
P02;16.08.2020;TRUE
P02;17.08.2020;TRUE
P02;18.08.2020;TRUE
P02;19.08.2020;TRUE
P02;30.08.2020;TRUE
P02;31.08.2020;TRUE
P02;01.09.2020;TRUE
P02;02.09.2020;TRUE
P02;03.09.2020;TRUE
P02;04.09.2020;TRUE
P02;05.09.2020;TRUE
P02;06.09.2020;TRUE
P02;07.09.2020;TRUE
P02;08.09.2020;TRUE
P02;09.09.2020;TRUE
P02;10.09.2020;TRUE
P02;11.09.2020;TRUE
P02;12.09.2020;TRUE
P02;13.09.2020;TRUE
P02;14.09.2020;TRUE
P02;15.09.2020;TRUE
P02;16.09.2020;TRUE
P02;17.09.2020;TRUE
P02;18.09.2020;TRUE
P04;11.07.2020;TRUE
P04;12.07.2020;TRUE
P04;13.07.2020;TRUE
P04;14.07.2020;TRUE
P04;15.07.2020;TRUE
P04;16.07.2020;TRUE
P04;17.07.2020;TRUE
P04;18.07.2020;TRUE
P04;19.07.2020;TRUE
P04;20.07.2020;TRUE
P04;21.07.2020;TRUE
P04;22.07.2020;TRUE
